"","Original address","Freq","Location.Address"
"878","5555 S.. Woodlawn",1,"5555 South. Woodlawn"
"879","5558 S. Kimbark",1,"5558 South Kimbark"
"880","55th & Cottage Grove",1,"55th and Cottage Grove"
"881","55th & Dorchester",1,"55th and Dorchester"
"882","55th & Kimbark",1,"55th and Kimbark"
"883","55th & Lake Shore Dr.",1,"55th and Lake Shore Drive"
"884","55th & South Shore",1,"55th and South Shore"
"885","55th at Cornell",1,"55th at Cornell"
"886","55th at Everett",1,"55th at Everett"
"887","55th near Woodlawn ",1,"55th and Woodlawn "
"888","55th St. at Woodlawn ",1,"55th Street at Woodlawn "
"889","5600 S, Blackstone",1,"5600 South Blackstone"
