,Incident,Location,Occured,Disposition,Notes,temp_inc
1047,trespassing : criminal trespass to land,illinois institute of technology : mies campus : academic/administrative buildings : engineering research – 55 w 34th,11/29/2016 9:05,police notified notes: iitpsd responded to erb south for a suspicious person.  thank you,iitpsd responded to erb south for a suspicious person.  thank you,SUSPICION
1048,damage to property,illinois institute of technology : mies campus : academic/administrative buildings,11/23/2016 5:30,cleared   notes: iitpsd responded to the rettaliata engineering building for a damage to property report.,iitpsd responded to the rettaliata engineering building for a damage to property report.,DAMAGE TO PROPERTY
1049,harassment : in person,illinois institute of technology : mies campus : academic/administrative buildings : stuart building – 10 w 31st,11/23/2016 8:00,student affairs notified   notes: iitpsd responded to farr hall for a harassment report.,iitpsd responded to farr hall for a harassment report.,DISTURBANCE
1050,injured/sick person : emergency medical transport/ambulance,illinois institute of technology : kent campus – 565 w adams,11/23/2016 9:50,cleared – no further action   notes: iit psd responded to a medical emergency at kent college of law,iit psd responded to a medical emergency at kent college of law,MEDICAL INCIDENT
1051,alarm : fire,illinois institute of technology : mies campus : residential buildings,11/27/2016 4:22,cleared   notes: iitpsd responded to msv for an activated fire alarm.       thank you!,iitpsd responded to msv for an activated fire alarm.       thank you!,ALARM
1052,trespassing : criminal trespass to land,illinois institute of technology : mies campus : academic/administrative buildings : 3410 s state,11/22/2016 3:10,cleared by arrest notes: iitpsd responded to 3410 state street for a suspicious person.  thank you,iitpsd responded to 3410 state street for a suspicious person.  thank you,SUSPICION
1053,robbery : strong-arm hand/fists/feet,illinois institute of technology : mies campus : street locations : 31st street : east : 45-100   wabash to michigan,11/21/2016 8:20,cleared – no further action   notes: iitpsd responded to farr hall for a strong-arm robbery report that occurred off campus,iitpsd responded to farr hall for a strong-arm robbery report that occurred off campus,ROBBERY
1054,assist other agency/department,illinois institute of technology : mies campus : street locations : 31st street : east : 45-100   wabash to michigan,11/21/2016 3:40,information only   notes: iitpsd responded to 31st and michigan for a motor vehicle accident.,iitpsd responded to 31st and michigan for a motor vehicle accident.,ACCIDENT
1055,assault-simple : hands/fists/feet,illinois institute of technology : mies campus : academic/administrative buildings : galvin library – 35 w 33rd,11/21/2016 9:53,closed – no further action possible   notes: iitpsd responded to galvin library for a report of a simple assault of an iit student.       thank you,iitpsd responded to galvin library for a report of a simple assault of an iit student.       thank you,ASSAULT
1056,trespassing : criminal trespass to land,illinois institute of technology : mies campus : academic/administrative buildings : mccormick tribune campus center – 3201 s state,11/18/2016 8:22,police notified   notes: iitpsd responded to 7/11 store for a report of a assault to a store employee.,iitpsd responded to 7/11 store for a report of a assault to a store employee.,ASSAULT
1057,drug/narcotic offense,illinois institute of technology : mies campus : academic/administrative buildings : hermann hall – 3241 s federal,11/18/2016 11:30,student affairs notified   notes: iitpsd took a narcotics report from the bog,iitpsd took a narcotics report from the bog,NARCOTICS
1058,accident : motor vehicle,illinois institute of technology : mies campus : street locations : michigan : 3100-3200 south,11/18/2016 11:40,cleared   notes: iitpsd responded to 32nd & michigan for a motor vehicle accident,iitpsd responded to 32nd & michigan for a motor vehicle accident,ACCIDENT
1059,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : mies campus : residential buildings : fraternity/sorority :pkp – 3333 s wabash,11/19/2016 4:02,housing notified   notes: iitpsd responded to the pi kappa phi house for an injured student,iitpsd responded to the pi kappa phi house for an injured student,MEDICAL INCIDENT
1060,larceny/theft,illinois institute of technology : mies campus : academic/administrative buildings,11/20/2016 1:00,information only   notes: iitpsd responded to farr hall for a theft report.       thank you,iitpsd responded to farr hall for a theft report.       thank you,THEFT
1061,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : academic/administrative buildings : tower – 10w 35th,11/17/2016 12:00,cleared – no further action   notes: iitpsd responded to health and wellness for a non-emergency medical transport to mercy hospital.,iitpsd responded to health and wellness for a non-emergency medical transport to mercy hospital.,MEDICAL INCIDENT
1062,injured/sick person : report only : student,illinois institute of technology : kent campus – 565 w adams,11/17/2016 8:05,facilities notified   notes: iit psd received a report of an injured student at kent college of law       have a safe and fun weekend!,iit psd received a report of an injured student at kent college of law       have a safe and fun weekend!,MEDICAL INCIDENT
1063,accident : motor vehicle,illinois institute of technology: mies campus : street locations : 33rd street : east : 45-100 wabash to michigan,11/16/2016 1:05,"police notified notes: iitpsd responded to 33rd street northeast of wabash, for a motor vehicle accident. pm","iitpsd responded to 33rd street northeast of wabash, for a motor vehicle accident. pm",ACCIDENT
1064,drug/narcotic offense,illinois institute of technology: mies campus : residential buildings : mccormick student village – 3241 s wabash,11/16/2016 4:50,housing notified notes: iitpsd responded to msv for a smell of marijuana in lewis hall.,iitpsd responded to msv for a smell of marijuana in lewis hall.,NARCOTICS
1065,robbery : attempted,illinois institute of technology: mies campus : other : off campus location,11/16/2016 6:00,cleared – no further action notes: iitpsd responded to mtcc for a report of an attempted robbery off campus.,iitpsd responded to mtcc for a report of an attempted robbery off campus.,ROBBERY
1066,battery-aggravated : hand/fists/feet w/aggravated injury,illinois institute of technology: mies campus : street locations : 34th street : west : 1-36 state to dearborn,11/16/2016 6:00,police notified notes: iitpsd responded to 34th and the green line for an assault on a member of the general public.,iitpsd responded to 34th and the green line for an assault on a member of the general public.,ASSAULT
1067,trespassing : criminal trespass to land,illinois institute of technology: mies campus : street locations : 34th street : west : 1-36 state to dearborn,11/16/2016 6:00,police notified notes: iitpsd responded to 34th and the green line for an assault on a member of the general public.,iitpsd responded to 34th and the green line for an assault on a member of the general public.,ASSAULT
